user_id,install_time,name,age,country,goal,onboarding_level,plan_on_study_time,is_premium
e68a2898-61d6-4f17-9baf-dc6b26fabc9a,2026-05-16 00:59:51,Brian,22,RU,Для учебы,Intermediate,30,0
406a27c3-40fd-4469-b5b0-3daae6cf4d23,2026-04-24 17:38:51,Perry,48,US,Для путешествий,Beginner,10,0
10c2c58d-7cf0-43bf-9acb-4a4031300259,2026-03-18 08:34:51,Terry,42,FR,Хобби,Advanced,10,0
3f2bb558-367b-4188-a480-2fb31114d95d,2026-04-18 13:08:51,Alex,33,US,Для учебы,Intermediate,120,0
7cfda0ec-ce5a-4e5a-b54d-ae34e03c53a8,2026-04-16 19:07:51,Patricia,46,FR,Для путешествий,Beginner,5,0
e0089133-8e26-43dd-91ce-c6887e9550b3,2026-03-20 04:42:51,James,47,BR,Для учебы,Advanced,60,1
cd73cb15-f92b-4371-8406-bd18e49c7da0,2026-04-18 19:55:51,Richard,47,FR,Для работы,Advanced,15,0
82dd47da-f16f-4d41-90ee-cd7493dfb233,2026-03-11 04:18:51,Edward,17,US,Для учебы,Elementary,60,0
e6739137-a424-4ebf-99cf-d9df40428792,2026-03-20 07:08:51,Isaac,42,ES,Для учебы,Advanced,45,0
170732e4-00ad-4620-a1a7-636e08742bed,2026-03-07 21:28:51,James,52,FR,Для работы,Intermediate,30,0
8ccc5ddc-afcd-4083-a1fc-2e525eccfd8a,2026-03-06 03:05:51,Taylor,39,RU,Для путешествий,Advanced,90,0
a3c63836-19da-4f31-bb59-06da0d6f2e72,2026-04-10 00:18:51,John,20,FR,Для путешествий,Elementary,10,0
869cab8f-c999-4974-8dc4-6d20ad63ca8a,2026-03-26 12:56:51,William,49,IT,Для работы,Beginner,45,0
2ed14a99-22ce-4fba-a5fb-0ec53f4b6963,2026-04-26 03:59:51,William,52,FR,Хобби,Intermediate,120,0
2ddfdb47-ef18-46d5-bf92-9e2616edcdc2,2026-05-24 11:10:51,Heather,20,BR,Хобби,Advanced,10,0
6065da43-33ac-4292-8149-a08d61bcf3d8,2026-03-28 00:12:51,Albert,41,IT,Для работы,Intermediate,45,0
2045897a-659d-49eb-a329-cd76ecc56526,2026-03-28 12:52:51,Stacy,25,US,Для работы,Elementary,20,0
7e4a2c49-9031-459d-a589-fdc34014a24c,2026-03-12 10:41:51,Dylan,29,IT,Для работы,Beginner,30,0
27c6d86a-ca16-49cf-b809-250cd993bc52,2026-05-22 03:08:51,Wesley,48,IT,Хобби,Elementary,30,0
58c59dab-f9e3-4d3d-9421-992da604ad4b,2026-03-30 10:37:51,Sabrina,39,IT,Для работы,Elementary,120,0
4f876de6-1329-4e6b-b06b-883fedcc4a96,2026-04-14 09:27:51,Jacqueline,30,IT,Для работы,Elementary,20,1
23edf270-b79e-46e7-b0a4-a20adfe82d4f,2026-06-01 07:06:51,Erin,31,RU,Для учебы,Advanced,15,0
89d0b0ba-e211-454b-a8da-4c869df6dd1f,2026-04-25 03:59:51,Cynthia,32,RU,Для путешествий,Advanced,45,0
b1d794c9-82c5-438a-8e07-1de56ad9fac7,2026-05-19 05:05:51,Matthew,22,ES,Для работы,Intermediate,45,0
9eeec2ae-828a-40e6-a5b9-97cc26a93e50,2026-04-24 22:58:51,Tiffany,33,DE,Для учебы,Advanced,60,0
1f0340d4-f22f-473e-8edd-15c748399eeb,2026-05-30 05:35:51,Joseph,54,FR,Хобби,Intermediate,20,0
9f15e1bf-4066-4df3-90e6-69ee5360ec0d,2026-04-16 00:22:51,Seth,52,DE,Для работы,Intermediate,15,1
44131c62-e647-46d5-b3c5-7e04142f54d7,2026-05-05 23:41:51,Randy,22,US,Для путешествий,Elementary,10,0
6da93b27-50dd-4704-b5b3-941228a591e9,2026-03-13 02:30:51,Lisa,28,ES,Хобби,Advanced,20,0
9d60a64c-2182-46b9-89ed-af1172af45db,2026-05-13 20:07:51,Brenda,35,US,Для путешествий,Intermediate,15,0
5fedb8d7-a8f1-427e-9038-5493148a3523,2026-03-12 03:00:51,Robert,36,ES,Хобби,Elementary,20,0
611771bf-7008-49a1-a451-73c971f68d8c,2026-04-17 18:44:51,William,32,IT,Для учебы,Beginner,120,0
8d54e6af-c3f2-4593-a402-ce389f0b9472,2026-05-07 23:17:51,Ryan,27,US,Для путешествий,Intermediate,45,0
